,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date,Ta_mid_2m,RH_mid_2m,VPD_kPa,Tcns
2023-05-06 13:00:00,19.2,21.21,46.43,62.67,1.6786333333333334,911.6333333333333,0.0,13,2023-05-06,20.205,54.55,1.0763102666385573,22.55841678004076
2023-05-07 11:00:00,20.1,21.93,47.48,59.7,3.057666666666667,782.6550000000001,0.0,11,2023-05-07,21.015,53.59,1.1552830922975617,22.697182016168536
2023-05-07 12:00:00,21.21,23.15,42.54,54.81,2.4240666666666666,859.02,0.0,12,2023-05-07,22.18,48.675,1.3719572226492063,23.66383202715865
2023-05-07 13:00:00,22.15,23.86,41.15,50.38,2.5396333333333336,844.035,0.0,13,2023-05-07,23.005,45.765,1.5241593535466806,24.108441437357314
2023-05-08 11:00:00,17.58,19.54,42.46,53.42,1.86045,784.1866666666666,0.0,11,2023-05-08,18.56,47.94,1.1129354910858535,20.628096871258844
2023-05-08 12:00:00,19.21,21.35,37.23,50.53,2.1195,878.3166666666667,0.0,12,2023-05-08,20.28,43.879999999999995,1.3351613955044426,22.131724309851894
2023-05-08 13:00:00,21.21,23.72,26.37,43.86,2.27,916.0166666666667,0.0,13,2023-05-08,22.465,35.115,1.7647427657221328,23.541731323036245
2023-05-09 11:00:00,16.35,18.24,61.07,71.87,3.480766666666667,284.3113333333333,0.0,11,2023-05-09,17.295,66.47,0.6619669165713442,18.43188763763822
2023-05-09 12:00:00,16.63,18.91,61.28,70.51,3.7966166666666665,811.6550000000001,0.0,12,2023-05-09,17.77,65.89500000000001,0.6938078661956006,20.64467109401638
2023-05-09 13:00:00,18.22,19.96,57.94,65.93,4.0148,902.3,0.0,13,2023-05-09,19.09,61.935,0.8411457628919503,21.896688643806673
2023-05-10 11:00:00,14.95,18.34,74.57,85.9,2.3579833333333338,676.99,0.0,11,2023-05-10,16.645,80.235,0.3744604289179392,19.657647378068987
2023-05-10 12:00:00,17.87,20.29,71.81,82.6,2.3462833333333335,790.0733333333334,0.0,12,2023-05-10,19.08,77.205,0.5034012169481533,21.984924902091844
2023-05-10 13:00:00,19.08,20.86,71.13,80.6,3.787183333333333,810.0366666666666,0.254,13,2023-05-10,19.97,75.865,0.5632970002354174,22.74224768299198
2023-05-11 11:00:00,19.25,21.05,68.73,76.78,2.8206333333333333,525.34,0.0,11,2023-05-11,20.15,72.755,0.6430042188207663,21.78683388270989
2023-05-11 12:00:00,20.44,22.58,66.08,75.43,2.97305,674.1983333333334,0.0,12,2023-05-11,21.509999999999998,70.755,0.750423553295566,23.335280014388097
2023-05-11 13:00:00,21.59,23.1,62.96,71.78,3.379566666666667,579.9050000000001,0.0,13,2023-05-11,22.345,67.37,0.8810236400129045,23.542333221981288
2023-05-12 11:00:00,12.05,13.52,97.9,99.9,2.2604666666666664,145.05716666666666,0.508,11,2023-05-12,12.785,98.9,0.01624519520514508,14.957094550285872
2023-05-12 12:00:00,12.94,15.24,90.9,98.2,2.6306000000000003,262.81166666666667,0.0,12,2023-05-12,14.09,94.55000000000001,0.08763411512402977,16.401071366403492
2023-05-12 13:00:00,14.58,16.31,82.9,93.8,3.2119666666666666,646.3,0.0,13,2023-05-12,15.445,88.35,0.20443670025030994,18.752766784637053
2023-05-13 11:00:00,17.25,19.02,65.52,74.2,5.616716666666666,631.8583333333333,0.0,11,2023-05-13,18.134999999999998,69.86,0.6273864795569698,20.42924377130906
2023-05-13 12:00:00,18.21,20.77,60.24,71.27,4.725016666666666,728.77,0.0,12,2023-05-13,19.490000000000002,65.755,0.7758108011691627,21.73206933830472
2023-05-13 13:00:00,19.35,20.72,58.41,70.93,5.0694,804.39,0.0,13,2023-05-13,20.035,64.67,0.827906328887487,22.395350823113144
2023-05-14 11:00:00,12.92,14.2,81.4,91.4,4.910566666666667,136.73833333333332,0.0,11,2023-05-14,13.559999999999999,86.4,0.21127966736589524,15.319428648986117
2023-05-14 12:00:00,12.88,13.87,80.2,85.4,5.255733333333334,170.66833333333335,0.0,12,2023-05-14,13.375,82.80000000000001,0.26400441780015615,15.20078276085644
2023-05-14 13:00:00,13.06,14.3,76.73,82.7,5.134200000000001,177.95499999999998,0.0,13,2023-05-14,13.68,79.715,0.3176040535423458,15.413916622363597
2023-05-15 11:00:00,11.06,12.38,85.5,93.5,4.095433333333333,167.965,0.0,11,2023-05-15,11.72,89.5,0.14457211305919082,13.924647936064172
2023-05-15 12:00:00,11.58,12.62,82.9,89.3,4.3405000000000005,172.2,0.0,12,2023-05-15,12.1,86.1,0.19624563941525344,14.195143822847882
2023-05-15 13:00:00,11.94,12.6,83.5,88.3,3.890233333333333,157.31866666666667,0.0,13,2023-05-15,12.27,85.9,0.2013100362511807,14.28361578076912
2023-05-16 11:00:00,12.12,16.92,56.03,97.5,1.17405,804.2333333333333,0.0,11,2023-05-16,14.52,76.765,0.3841570227590293,18.240188983666073
2023-05-16 12:00:00,16.72,18.97,38.59,61.34,1.1574666666666666,887.7,0.0,12,2023-05-16,17.845,49.965,1.0226951135653686,20.499192085330215
2023-05-16 13:00:00,18.54,20.1,35.01,48.23,1.6297833333333334,925.4833333333333,0.0,13,2023-05-16,19.32,41.62,1.3086732963356529,21.50001538697997
2023-05-17 11:00:00,20.25,22.35,46.06,59.97,4.1087,770.4300000000001,0.0,11,2023-05-17,21.3,53.015,1.1902263604374095,22.851676777365757
2023-05-17 12:00:00,21.73,23.2,40.74,52.72,4.241966666666666,865.7,0.0,12,2023-05-17,22.465,46.730000000000004,1.448837899823041,23.823685045256592
2023-05-17 13:00:00,22.86,24.38,39.76,48.55,4.260933333333333,908.6166666666667,0.0,13,2023-05-17,23.619999999999997,44.155,1.6287375692563255,24.717888857911664
2023-05-18 11:00:00,14.72,17.54,54.24,68.67,2.4102166666666665,531.1483333333333,0.0,11,2023-05-18,16.13,61.455,0.7066994238294192,18.21740500211401
2023-05-18 12:00:00,16.78,19.37,50.41,63.0,1.9348833333333333,651.11,0.0,12,2023-05-18,18.075000000000003,56.705,0.8978268368870481,20.05228608651378
2023-05-18 13:00:00,18.64,20.58,47.83,61.19,1.6369333333333331,643.985,0.0,13,2023-05-18,19.61,54.51,1.0382740249467952,21.15915016382715
2023-05-19 11:00:00,12.03,14.34,48.81,55.95,5.6212333333333335,775.7583333333333,0.0,11,2023-05-19,13.184999999999999,52.38,0.7219157622680762,16.489326311377955
2023-05-19 12:00:00,13.77,15.55,45.98,54.11,5.6375166666666665,847.725,0.0,12,2023-05-19,14.66,50.045,0.8334359728044578,17.862755339433537
2023-05-19 13:00:00,14.6,17.01,37.35,51.87,5.291383333333333,886.3733333333333,0.0,13,2023-05-19,15.805,44.61,0.9946728997523958,18.760380962025692
2023-05-20 11:00:00,16.11,18.41,43.23,57.76,2.9106666666666667,808.8933333333333,0.0,11,2023-05-20,17.259999999999998,50.495,0.9751931041579055,19.783296665637703
2023-05-20 12:00:00,17.79,19.16,39.61,50.7,2.9148666666666667,899.4166666666666,0.0,12,2023-05-20,18.475,45.155,1.1662486713186953,20.88014775992123
