date,hour,pa,ppt,swin,ta,Tcns
2023-05-28,13,91065.8984375,0.0286999996751546,115.6060028076172,17.3699951171875,22.53240298190064
2023-05-29,11,90979.203125,0.0,0.0,15.050018310546877,24.42070343916429
2023-05-29,12,90966.703125,0.0,85.625,14.850006103515623,25.605762937606983
2023-05-29,13,90973.8984375,0.0,218.2700042724609,16.77001953125,26.608192398135333
2023-05-30,11,90944.203125,0.0,0.0,17.850006103515625,24.72230271075468
2023-05-30,12,91001.6015625,0.0,86.81500244140625,17.6199951171875,25.758416828319188
2023-05-30,13,90937.6015625,0.0,219.5619964599609,19.300018310546875,26.832756931472016
2023-05-31,11,91046.3984375,0.0,0.0,18.5,23.883881794864525
2023-05-31,12,91101.6015625,0.0,87.73500061035156,18.100006103515625,24.88906275358549
2023-05-31,13,91041.6015625,0.0,220.27999877929688,19.66000366210937,25.613787644053527
2023-06-01,11,90818.296875,0.0043999999761581,0.0,17.339996337890625,20.712634517770805
2023-06-01,12,90849.6015625,0.0,97.8740005493164,17.240020751953125,22.718426522966265
2023-06-01,13,90818.296875,0.0,244.093994140625,19.17001342773437,22.1475818576002
2023-06-02,11,91004.203125,0.0,0.0,16.490020751953125,20.993188920843743
2023-06-02,12,91082.796875,0.0,87.48200225830078,16.480010986328125,22.986660897532207
2023-06-02,13,91071.1015625,0.0,216.84300231933597,18.19000244140625,21.775641719310844
2023-06-03,11,91285.796875,0.0,0.0,15.80999755859375,21.78446432733946
2023-06-03,12,91362.796875,0.0,49.76399993896485,15.860015869140623,23.545130669087627
2023-06-03,13,91405.0,0.0,122.66100311279295,17.010009765625,20.337853601892466
2023-06-04,11,91648.3984375,0.0,0.0,18.82000732421875,25.371920512981504
2023-06-04,12,91675.6015625,0.0,96.86599731445312,18.970001220703125,25.69378750598215
2023-06-04,13,91662.703125,0.0,237.55599975585935,20.45001220703125,25.654174584218545
2023-06-05,11,91640.5,0.0,0.0,17.94000244140625,25.201593305914788
2023-06-05,12,91611.0,0.0,99.4469985961914,17.970001220703125,25.958346866743867
2023-06-05,13,91669.796875,0.0,242.7740020751953,19.740020751953125,26.38150043666967
2023-06-06,11,91347.296875,0.0,0.0,17.089996337890625,25.49891829490492
2023-06-06,12,91322.5,0.0,102.4800033569336,16.95001220703125,26.588099474406587
2023-06-06,13,91340.203125,0.0,249.15899658203125,19.08001708984375,27.09090481715227
2023-06-07,11,91264.6015625,0.0,0.0,19.089996337890625,26.3207460861756
2023-06-07,12,91310.0,0.0,103.01100158691406,19.20001220703125,27.00563545897072
2023-06-07,13,91258.0,0.0,249.552001953125,20.82000732421875,27.82008884706317
2023-06-08,11,90967.5,0.0,0.0,20.110015869140625,27.29960624404166
2023-06-08,12,90976.1015625,0.0,103.05799865722656,20.110015869140625,27.9797299790996
2023-06-08,13,90921.1015625,0.0,248.88400268554688,21.89999389648437,28.029662046702036
2023-06-09,11,91088.203125,0.0,0.0,20.20001220703125,27.36066108523265
2023-06-09,12,91105.1015625,0.0,103.1259994506836,20.1199951171875,28.353538693349897
2023-06-09,13,91059.0,0.0,248.38299560546875,22.07000732421875,28.86222670993188
2023-06-10,11,90923.0,0.0,0.0,20.279998779296875,24.53182796949384
2023-06-10,12,91014.8984375,0.0,80.26300048828125,20.5,24.762168912151985
2023-06-10,13,90968.5,0.0,192.88400268554688,21.20001220703125,25.930391934130043
2023-06-11,11,91294.296875,0.0,0.0,15.77001953125,21.33912674266514
2023-06-11,12,91308.3984375,0.0,78.95899963378906,15.709991455078123,22.208435783311035
2023-06-11,13,91308.703125,0.0,189.40899658203125,16.740020751953125,21.681570211477048
2023-06-12,11,91572.703125,0.0,0.0,12.279998779296877,20.3652686883711
2023-06-12,12,91552.3984375,0.0,102.68900299072266,11.910003662109377,20.969748860334853
2023-06-12,13,91535.296875,0.0,245.9969940185547,13.709991455078123,21.366356838021492
2023-06-13,11,91182.203125,0.0,0.0,12.740020751953123,23.082057123802123
2023-06-13,12,91220.6015625,0.0038000000640749,99.8239974975586,12.779998779296877,23.735074338471087
2023-06-13,13,91136.6015625,0.0,238.9080047607422,14.80999755859375,24.266378557295116
2023-06-14,11,90780.203125,0.0,0.0,13.360015869140623,24.19478891212934
2023-06-14,12,90758.296875,0.0,106.80799865722656,13.510009765625,24.976620025850966
2023-06-14,13,90744.3984375,0.0,255.48800659179688,15.839996337890623,25.7020695326488
2023-06-15,11,90621.5,0.0,0.0,15.69000244140625,26.013555688342272
2023-06-15,12,90599.8984375,0.0,104.34500122070312,15.550018310546877,26.646880454252543
2023-06-15,13,90587.8984375,0.0,249.56700134277344,17.920013427734375,27.62894162236816
2023-06-16,11,91237.796875,0.0,0.0,17.220001220703125,19.990995991054152
2023-06-16,12,91265.203125,0.0,102.95600128173828,16.6199951171875,21.50610041384052
2023-06-16,13,91256.796875,0.0,246.3179931640625,17.70001220703125,22.8774770064854
2023-06-17,11,91496.703125,0.0328000001609325,0.0,13.83001708984375,19.40065255477194
2023-06-17,12,91496.296875,0.0035000001080334,35.52199935913086,13.709991455078123,21.591875869207797
2023-06-17,13,91452.796875,0.0003000000142492354,85.04499816894531,14.17999267578125,22.879047202983053
2023-06-18,11,90841.6015625,0.0,0.0,15.08001708984375,25.73758197399165
2023-06-18,12,90904.703125,0.0,104.74400329589844,15.040008544921877,26.97887912544805
2023-06-18,13,90786.203125,0.0,251.0529937744141,17.27001953125,27.45853624157212
2023-06-19,11,90625.203125,0.0,0.0,18.45001220703125,27.52789919566586
2023-06-19,12,90600.5,0.0,102.31400299072266,18.44000244140625,28.603489231362
2023-06-19,13,90569.796875,0.0,245.6000061035156,20.69000244140625,29.33056707207208
2023-06-20,11,90910.3984375,0.0,0.0,19.610015869140625,24.31062686912485
2023-06-20,12,90874.0,0.0,102.3499984741211,19.290008544921875,23.63789620516868
2023-06-20,13,90898.796875,0.0,246.1629943847656,21.02001953125,25.03588620683545
2023-06-21,11,91146.8984375,0.0,0.0,21.20001220703125,23.43017705733414
2023-06-21,12,91156.1015625,0.0092000002041459,94.1060028076172,21.279998779296875,26.02210906495377
2023-06-21,13,91231.6015625,0.0006000000284984708,226.86300659179688,22.67001342773437,26.20241925425576
2023-06-22,11,91468.5,0.7537000179290771,0.0,19.089996337890625,23.136921046945197
2023-06-22,12,91486.1015625,0.6492000222206116,70.37200164794922,19.459991455078125,24.24050917533539
2023-06-22,13,91522.6015625,0.1831000000238418,170.11399841308594,20.730010986328125,25.860273613316732
2023-06-23,11,91257.796875,0.0,0.0,18.6400146484375,23.77430470789263
2023-06-23,12,91282.296875,0.0,97.75700378417967,18.57000732421875,26.323570114491428
2023-06-23,13,91223.5,0.0,237.06300354003903,20.41000366210937,27.23063395688497
2023-06-24,11,90649.1015625,0.0,0.0,21.77001953125,25.18416923956163
2023-06-24,12,90717.203125,0.0,102.89600372314452,21.459991455078125,26.00531824923605
2023-06-24,13,90742.703125,0.0,250.42100524902344,22.550018310546875,26.56469595563092
2023-06-25,11,91535.8984375,0.0,0.0,12.589996337890623,23.28267297124426
2023-06-25,12,91550.3984375,0.0,101.54000091552734,12.480010986328123,24.045104960215145
2023-06-25,13,91612.8984375,0.0,248.11300659179688,14.860015869140623,24.9669750171264
2023-06-26,11,91575.703125,0.0,0.0,15.839996337890623,25.36015601703946
2023-06-26,12,91591.8984375,0.0,99.08499908447266,15.5,25.27896239038844
2023-06-26,13,91557.8984375,0.0,243.19000244140625,17.660003662109375,26.358171291275003
2023-06-27,11,91147.3984375,0.0,0.0,18.350006103515625,23.58028276351025
2023-06-27,12,91185.203125,0.0,96.19499969482422,18.39999389648437,25.26069286153124
2023-06-27,13,91115.1015625,0.0,237.25100708007807,19.80999755859375,26.29289079372988
2023-06-28,11,90788.3984375,0.0,0.0,20.58001708984375,26.465621932546814
2023-06-28,12,90846.0,0.0,95.61000061035156,20.75,27.77294408129754
2023-06-28,13,90877.1015625,0.0,237.0659942626953,22.050018310546875,28.57477573443916
2023-06-29,11,91261.203125,0.0,0.0,20.6400146484375,25.77025298549793
2023-06-29,12,91277.796875,0.0,96.8270034790039,20.339996337890625,26.587064014165318
2023-06-29,13,91317.1015625,0.0,241.4720001220703,21.83001708984375,27.435691772921068
2023-06-30,11,91392.796875,0.0218000002205371,0.0,19.480010986328125,21.133512941742705
2023-06-30,12,91400.8984375,1.426300048828125,71.9219970703125,19.290008544921875,22.190726611765573
2023-06-30,13,91380.296875,0.017799999564886,180.48399353027344,20.290008544921875,22.8624076621654
2023-07-01,11,91330.203125,0.0,0.0,17.67999267578125,20.10989219393711
2023-07-01,12,91334.296875,0.0,77.53600311279297,17.010009765625,21.77255238358986
2023-07-01,13,91331.296875,0.0,195.8820037841797,18.41000366210937,24.06348449290877
2023-07-02,11,91306.203125,0.0,0.0,16.6199951171875,27.10011489674169
2023-07-02,12,91265.296875,0.0,89.00399780273438,16.410003662109375,28.06608619732348
